inchi_key	inchi	smiles	cell_line	conc	target_value	control_value
OBWGMKKHCLHVIE-UHFFFAOYSA-N	OBWGMKKHCLHVIE-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1	GFP	1	-0.246979801070376	-0.0292722502546111
UIAGMCDKSXEBJQ-UHFFFAOYSA-N	UIAGMCDKSXEBJQ-UHFFFAOYSA-N	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1	GFP	1	1.39348599955424	0.852561272508975
BOOROEDYUBEHOH-UHFFFAOYSA-N	BOOROEDYUBEHOH-UHFFFAOYSA-N	Cc1[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c2c1C	GFP	1	1.37987124686485	0.880419905223812
QJJXYPPXXYFBGM-LFZNUXCKSA-N	QJJXYPPXXYFBGM-LFZNUXCKSA-N	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	GFP	1	-0.465581124857443	0.0755415761492972
UBXDWYFLYYJQFR-UHFFFAOYSA-N	UBXDWYFLYYJQFR-UHFFFAOYSA-N	COc1c(O)cc(C(=O)O)cc1O	GFP	1	0.379240903420198	-0.0686104830925387
KQEPIRKXSUIUTH-UHFFFAOYSA-N	KQEPIRKXSUIUTH-UHFFFAOYSA-N	O=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1	GFP	1	0.0439184717727903	-1.14403727093555
DOKZLKDGUQWMSX-HKBQPEDESA-N	DOKZLKDGUQWMSX-HKBQPEDESA-N	OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1	GFP	1	2.60112193011836	-0.428083605222593
IDHADZLSPDGLOW-UHFFFAOYSA-N	IDHADZLSPDGLOW-UHFFFAOYSA-N		GFP	1	1.40303767958811	0.999915684746371
HCODCRHNVCTCTR-UHFFFAOYSA-N	HCODCRHNVCTCTR-UHFFFAOYSA-N	Nc1ccc(S(N)(=O)=O)cc1I	GFP	1	0.264452101448673	0.541094421575685
PLYJYKAWZXEBFC-WDNCENIBSA-N	PLYJYKAWZXEBFC-WDNCENIBSA-N	CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(C(=O)c2ccc(F)cc2)c1)C1CCCCC1	GFP	1	1.14401503446921	-0.456570835750287
RIJLVEAXPNLDTC-UHFFFAOYSA-N	RIJLVEAXPNLDTC-UHFFFAOYSA-N	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	GFP	1	0.75255811126666206	0.315551440875332
UKMJWGFHXMGRNG-VZUYHUTRSA-O	UKMJWGFHXMGRNG-VZUYHUTRSA-O	CCCC[P+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@@H](Cc2ccc3ccccc3c2)N/C(=N/C2CCCCC2)NC2CCCCC2)cc1	GFP	1	-0.765180245840734	-2.35203246061552
ISFPDBUKMJDAJH-UHFFFAOYSA-N	ISFPDBUKMJDAJH-UHFFFAOYSA-N	O=C1CCc2c(ccc3ccccc23)O1	GFP	1	1.03937371205296	-0.220844509832226
