acc	gene	location	topology	both
O54951	Sema6b	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9DA97	Septin14	Cell projection,Cytoplasm,Secretory vesicle,Cytoskeleton,Perikaryon,Axon,Perinuclear region,Cytoplasmic vesicle,Acrosome,Dendrite		Cell projection,Cytoplasm,Secretory vesicle,Cytoskeleton,Perikaryon,Axon,Perinuclear region,Cytoplasmic vesicle,Acrosome,Dendrite
Q62179	Sema4b	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q6NXL6	Senp5	Nucleolus,Nucleus		Nucleolus,Nucleus
Q9WTM3	Sema6c	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q9ERR7	Selenof	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q64151	Sema4c	Synaptic vesicle membrane,Postsynaptic density membrane,Secretory vesicle,Synapse,Cytoplasmic vesicle,Cell junction	Single-pass type I membrane protein	Single-pass type I membrane protein,Synaptic vesicle membrane,Postsynaptic density membrane,Secretory vesicle,Synapse,Cytoplasmic vesicle,Cell junction
Q6P7W0	Senp6	Nucleus		Nucleus
Q8C650	Septin10	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
O09126	Sema4d	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
P70274	Selenop	Secreted		Secreted
Q9R1T4	Septin6	Flagellum,Cell projection,Cytoplasm,Cleavage furrow,Cytoskeleton,Centromere,Kinetochore,Cilium,Midbody,Chromosome,Spindle		Flagellum,Cell projection,Cytoplasm,Cleavage furrow,Cytoskeleton,Centromere,Kinetochore,Cilium,Midbody,Chromosome,Spindle
P42208	Septin2	Flagellum,Cell projection,Cytoplasm,Cleavage furrow,Cell cortex,Cytoskeleton,Centromere,Kinetochore,Cilium,Midbody,Chromosome,Cilium membrane,Spindle		Flagellum,Cell projection,Cytoplasm,Cleavage furrow,Cell cortex,Cytoskeleton,Centromere,Kinetochore,Cilium,Midbody,Chromosome,Cilium membrane,Spindle
Q61753	Phgdh			
O55131	Septin7	Flagellum,Cell projection,Cytoplasm,Cleavage furrow,Cytoskeleton,Centromere,Cilium axoneme,Kinetochore,Cilium,Midbody,Chromosome,Spindle		Flagellum,Cell projection,Cytoplasm,Cleavage furrow,Cytoskeleton,Centromere,Cilium axoneme,Kinetochore,Cilium,Midbody,Chromosome,Spindle
P97321	Fap	Ruffle membrane,Cell projection,Cell surface,Secreted,Lamellipodium membrane,Invadopodium membrane,Cell membrane,Membrane	Single-pass type II membrane protein	Ruffle membrane,Single-pass type II membrane protein,Cell projection,Cell surface,Secreted,Lamellipodium membrane,Invadopodium membrane,Cell membrane,Membrane
Q9Z1S5	Septin3	Cytoskeleton,Synapse,Cytoplasm,Cell junction		Cytoskeleton,Synapse,Cytoplasm,Cell junction
Q5XK03	Serinc4	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
P42209	Septin1	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Midbody		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Midbody
Q8BHJ6	Serinc5	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q99LS3	Psph	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q8CHH9	Septin8	Synaptic vesicle membrane,Cell projection,Cytoplasm,Secretory vesicle,Presynapse,Cytoskeleton,Synapse,Axon,Cytoplasmic vesicle,Cell junction		Synaptic vesicle membrane,Cell projection,Cytoplasm,Secretory vesicle,Presynapse,Cytoskeleton,Synapse,Axon,Cytoplasmic vesicle,Cell junction
Q9QZI8	Serinc1	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
P28661	Septin4	Flagellum,Cell projection,Cytoplasm,Secretory vesicle,Mitochondrion,Cytosol,Perikaryon,Axon,Synapse,Cilium,Cytoplasmic vesicle,Cell junction,Dendrite		Flagellum,Cell projection,Cytoplasm,Secretory vesicle,Mitochondrion,Cytosol,Perikaryon,Axon,Synapse,Cilium,Cytoplasmic vesicle,Cell junction,Dendrite
Q8K0E7	Serinc2	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q9QZI9	Serinc3	Golgi apparatus membrane,Cell membrane	Multi-pass membrane protein	Golgi apparatus membrane,Multi-pass membrane protein,Cell membrane
Q80UG5	Septin9	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q9Z2Q6	Septin5	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q99K85	Psat1			
O88892	Serf1	Cytosol,Nucleus,Cytoplasm		Cytosol,Nucleus,Cytoplasm
P58006	Sesn1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
P19324	Serpinh1	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
P84102	Serf2			
Q9EPB5	Serhl	Peroxisome,Cytoplasm,Perinuclear region		Peroxisome,Cytoplasm,Perinuclear region
P58043	Sesn2	Cytoplasm		Cytoplasm
Q80UK0	Sestd1			
E9PYH6	Setd1a	Nucleus,Chromosome,Nucleus speckle		Nucleus,Chromosome,Nucleus speckle
Q9CYP7	Sesn3	Cytoplasm		Cytoplasm
Q9Z1W5	Serp1	Membrane,Endoplasmic reticulum membrane	Single-pass type IV membrane protein,Single-pass membrane protein	Single-pass type IV membrane protein,Single-pass membrane protein,Membrane,Endoplasmic reticulum membrane
Q9Z180	Setbp1	Nucleus		Nucleus
Q8BH49	Pheta1	Clathrin-coated vesicle,Golgi apparatus,Cytoplasmic vesicle,Recycling endosome,Trans-Golgi network,Early endosome		Clathrin-coated vesicle,Golgi apparatus,Cytoplasmic vesicle,Recycling endosome,Trans-Golgi network,Early endosome
Q8CFT2	Setd1b	Nucleus,Chromosome,Nucleus speckle		Nucleus,Chromosome,Nucleus speckle
Q6TAW2	Serp2	Membrane,Endoplasmic reticulum membrane	Single-pass type IV membrane protein,Single-pass membrane protein	Single-pass type IV membrane protein,Single-pass membrane protein,Membrane,Endoplasmic reticulum membrane
P58467	Setd4	Cytosol,Nucleus,Cytoplasm		Cytosol,Nucleus,Cytoplasm
Q14B98	Pheta2	Clathrin-coated vesicle,Golgi apparatus,Cytoplasmic vesicle,Recycling endosome,Trans-Golgi network,Early endosome		Clathrin-coated vesicle,Golgi apparatus,Cytoplasmic vesicle,Recycling endosome,Trans-Golgi network,Early endosome
Q80UJ9	Setmar	Nucleus,Chromosome		Nucleus,Chromosome
Q5XJV7	Setd5	Nucleus,Chromosome		Nucleus,Chromosome
Q9CWY3	Setd6	Nucleus		Nucleus
O88974	Setdb1	Nucleus,Chromosome		Nucleus,Chromosome
A2AKX3	Setx	Growth cone,Cell projection,Cytoplasm,Telomere,Nucleus,Nucleoplasm,Axon,Nucleolus,Chromosome		Growth cone,Cell projection,Cytoplasm,Telomere,Nucleus,Nucleoplasm,Axon,Nucleolus,Chromosome
E9Q5F9	Setd2	Nucleus,Chromosome		Nucleus,Chromosome
Q8VHL1	Setd7	Nucleus,Chromosome		Nucleus,Chromosome
Q921M3	Sf3b3	Nucleus		Nucleus
Q7TSK2	Sez6	Cell projection,Cytoplasm,Secreted,Synapse,Cell junction,Cell membrane,Dendrite	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell projection,Cytoplasm,Secreted,Synapse,Cell junction,Cell membrane,Dendrite
Q8C267	Setdb2	Nucleus,Chromosome		Nucleus,Chromosome
Q9EQU5	Set	Cytoplasm,Cytosol,Nucleus,Nucleoplasm,Endoplasmic reticulum		Cytoplasm,Cytosol,Nucleus,Nucleoplasm,Endoplasmic reticulum
Q8K4Z5	Sf3a1	Nucleus,Nucleus speckle		Nucleus,Nucleus speckle
Q8QZY9	Sf3b4	Nucleus		Nucleus
Q64213	Sf1	Nucleus		Nucleus
Q62203	Sf3a2	Nucleus		Nucleus
Q923D4	Sf3b5	Nucleus		Nucleus
Q91WC0	Setd3	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q3UZY0	Sfi1	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Centriole		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Centriole
Q9Z1N6	Sfrp4	Secreted		Secreted
P59708	Sf3b6	Nucleus		Nucleus
Q9D554	Sf3a3	Nucleus		Nucleus
Q8C4U3	Sfrp1	Secreted		Secreted
Q9WU66	Sfrp5	Secreted		Secreted
Q8VIJ6	Sfpq	Nucleus matrix,Cytoplasm,Nucleus speckle		Nucleus matrix,Cytoplasm,Nucleus speckle
P97299	Sfrp2	Secreted		Secreted
P97401	Frzb	Secreted		Secreted
Q5U4C3	Scaf1	Nucleus		Nucleus
Q99NB9	Sf3b1	Nucleus		Nucleus
Q8VD57	Sft2d2	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8BP27	Sfr1	Nucleus		Nucleus
Q925N2	Sfxn2	Mitochondrion membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion membrane
Q9CSV6	Sft2d3	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8K4N2	Spag11a	Secreted		Secreted
Q91V61	Sfxn3	Mitochondrion membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion membrane
Q3USH5	Sfswap	Nucleus		Nucleus
P50404	Sftpd	Extracellular matrix,Extracellular space,Surface film,Secreted		Extracellular matrix,Extracellular space,Surface film,Secreted
Q3UW43	Spag11b	Secreted		Secreted
E9PXB6	Sfta2	Cytoplasmic vesicle,Secreted,Golgi apparatus,Secretory vesicle		Cytoplasmic vesicle,Secreted,Golgi apparatus,Secretory vesicle
P82347	Sgcd	Cytoskeleton,Sarcolemma,Cytoplasm,Cell membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane
Q925N1	Sfxn4	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
Q8BX51	Sgcz	Cytoskeleton,Sarcolemma,Cytoplasm,Cell membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane
Q5SSN7	Sft2d1	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q3TUA9	Pomk	Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Endoplasmic reticulum membrane
Q6UGQ3	Scgb2b2	Secreted		Secreted
P82350	Sgca	Cytoskeleton,Sarcolemma,Cytoplasm,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane
Q925N0	Sfxn5	Mitochondrion membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion membrane
Q920D7	Scgb3a1	Secreted		Secreted
Q7M742	Scgb1c1	Secreted		Secreted
Q99JR1	Sfxn1	Mitochondrion inner membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion inner membrane
P35242	Sftpa1	Extracellular matrix,Extracellular space,Surface film,Secreted		Extracellular matrix,Extracellular space,Surface film,Secreted
Q9DA08	Sgf29	Nucleus		Nucleus
O70258	Sgce	Cell projection,Golgi apparatus,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane,Dendrite	Single-pass membrane protein	Cell projection,Golgi apparatus,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane,Dendrite,Single-pass membrane protein
Q920H1	Scgb3a2	Secreted		Secreted
P82349	Sgcb	Cytoskeleton,Sarcolemma,Cytoplasm,Cell membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane
Q8VD00	Tmem97	Nucleus membrane,Rough endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Nucleus membrane,Rough endoplasmic reticulum membrane
P82348	Sgcg	Cytoskeleton,Sarcolemma,Cytoplasm,Cell membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Cytoskeleton,Sarcolemma,Cell membrane
Q7TSY8	Sgo2	Centromere,Nucleus,Chromosome,Kinetochore		Centromere,Nucleus,Chromosome,Kinetochore
Q8BPQ7	Sgsm1	Cytoplasm,Golgi apparatus,Trans-Golgi network,Cytoplasmic vesicle membrane	Peripheral membrane protein	Golgi apparatus,Cytoplasm,Cytoplasmic vesicle membrane,Trans-Golgi network,Peripheral membrane protein
Q9WVC6	Sgk1	Mitochondrion,Cytoplasm,Nucleus,Cell membrane,Endoplasmic reticulum membrane		Mitochondrion,Cytoplasm,Nucleus,Cell membrane,Endoplasmic reticulum membrane
O55242	Sigmar1	Growth cone,Nucleus outer membrane,Cell projection,Postsynaptic density membrane,Nucleus envelope,Nucleus inner membrane,Lipid droplet,Synapse,Cytoplasmic vesicle,Cell junction,Cell membrane,Membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Growth cone,Nucleus outer membrane,Cell projection,Postsynaptic density membrane,Single-pass membrane protein,Nucleus envelope,Nucleus inner membrane,Lipid droplet,Synapse,Cytoplasmic vesicle,Cell junction,Cell membrane,Membrane,Endoplasmic reticulum membrane
Q9JI99	Sgpp1	Cell membrane,Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane,Endoplasmic reticulum membrane
Q80U12	Sgsm2	Melanosome,Cytoplasm		Melanosome,Cytoplasm
Q9CXH7	Sgo1	Centrosome,Cytoplasm,Cytoskeleton,Microtubule organizing center,Centromere,Nucleus,Kinetochore,Spindle pole,Chromosome		Centrosome,Cytoplasm,Cytoskeleton,Microtubule organizing center,Centromere,Nucleus,Kinetochore,Spindle pole,Chromosome
Q810K3	Sgpp2	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
Q8VCZ6	Sgsm3	Cytoplasm		Cytoplasm
Q8R0X7	Sgpl1	Endoplasmic reticulum membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Endoplasmic reticulum membrane
Q9QZS5	Sgk2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8VD37	Sgip1	Clathrin-coated pit,Membrane	Peripheral membrane protein	Clathrin-coated pit,Membrane,Peripheral membrane protein
O88890	Sh2d1a	Cytoplasm		Cytoplasm
Q8BJU0	Sgta	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9JID9	Sh2b2	Cytoplasm,Cell membrane		Cytoplasm,Cell membrane
Q8VD33	Sgtb			
Q8BG73	Sh3bgrl2	Nucleus		Nucleus
Q921I6	Sh3bp4	Clathrin-coated pit,Clathrin-coated vesicle,Nucleus,Cytoplasmic vesicle,Membrane		Clathrin-coated pit,Clathrin-coated vesicle,Nucleus,Cytoplasmic vesicle,Membrane
O35324	Sh2d1b			
Q45HK4	Sh2d1b2	Cytoplasm		Cytoplasm
Q9ERE3	Sgk3	Cytoplasmic vesicle,Recycling endosome,Early endosome		Cytoplasmic vesicle,Recycling endosome,Early endosome
O09039	Sh2b3			
Q91VW3	Sh3bgrl3	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9CX34	Sugt1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9QXK9	Sh2d2a	Cytoplasm,Cell membrane		Cytoplasm,Cell membrane
Q9WUZ7	Sh3bgr			
Q62421	Sh3gl3	Early endosome membrane,Cytoplasm	Peripheral membrane protein	Early endosome membrane,Cytoplasm,Peripheral membrane protein
Q8BZT2	Sh3rf2	Nucleus		Nucleus
Q80Z38	Shank2	Growth cone,Cell projection,Cytoplasm,Synapse,Apical cell membrane,Cell junction,Dendritic spine,Postsynaptic density		Growth cone,Cell projection,Cytoplasm,Synapse,Apical cell membrane,Cell junction,Dendritic spine,Postsynaptic density
Q8C8M1	Sinhcaf	Nucleus		Nucleus
Q6PD21	Shb	Cytoplasm,Cell membrane	Peripheral membrane protein	Cytoplasm,Cell membrane,Peripheral membrane protein
Q8C120	Sh3rf3			
Q9QZS8	Sh2d3c	Ruffle membrane,Cell projection,Cytoplasm,Axon,Cell membrane	Peripheral membrane protein	Ruffle membrane,Cell projection,Cytoplasm,Axon,Cell membrane,Peripheral membrane protein
Q62419	Sh3gl1	Early endosome membrane,Cell projection,Cytoplasm,Podosome	Peripheral membrane protein	Early endosome membrane,Cell projection,Cytoplasm,Podosome,Peripheral membrane protein
Q9D7V1	Sh2d4a	Cytoplasm		Cytoplasm
Q8JZW5	Sh2d5	Synapse,Cell junction,Postsynaptic density		Synapse,Cell junction,Postsynaptic density
O08641	Sh3yl1			
Q9Z179	Shcbp1	Cytoskeleton,Midbody,Cytoplasm,Spindle		Cytoskeleton,Midbody,Cytoplasm,Spindle
O88834	Shd			
Q9D413	Sh2d6			
A6X942	Sh2d4b			
Q8BI17	Sh2d7			
Q4ACU6	Shank3	Cell projection,Cytoplasm,Synapse,Cell junction,Dendritic spine,Postsynaptic density		Cell projection,Cytoplasm,Synapse,Cell junction,Dendritic spine,Postsynaptic density
Q62420	Sh3gl2	Cytoplasm,Presynapse,Synapse,Cell junction,Early endosome,Membrane	Peripheral membrane protein	Cytoplasm,Presynapse,Synapse,Cell junction,Peripheral membrane protein,Early endosome,Membrane
Q69ZI1	Sh3rf1	Cell projection,Cytoplasm,Golgi apparatus,Lamellipodium,Perinuclear region,Trans-Golgi network		Cell projection,Cytoplasm,Golgi apparatus,Lamellipodium,Perinuclear region,Trans-Golgi network
Q8R550	Sh3kbp1	Cytoplasm,Cytoskeleton,Synapse,Cytoplasmic vesicle membrane,Cell junction,Focal adhesion,Synaptosome	Peripheral membrane protein	Cytoplasm,Cytoskeleton,Synapse,Cytoplasmic vesicle membrane,Cell junction,Peripheral membrane protein,Focal adhesion,Synaptosome
Q91ZM2	Sh2b1	Nucleus,Cytoplasm,Membrane		Nucleus,Cytoplasm,Membrane
P98083	Shc1	Mitochondrion matrix,Mitochondrion,Cytoplasm		Mitochondrion matrix,Mitochondrion,Cytoplasm
Q91X43	Sh3d19	Cytoplasm		Cytoplasm
D3YZU1	Shank1	Synapse,Cytoplasm,Cell junction,Postsynaptic density		Synapse,Cytoplasm,Cell junction,Postsynaptic density
Q7TSG5	Sh3d21			
Q9JJU8	Sh3bgrl			
Q8CG80	Shf			
Q8BMC3	Shc2			
A2A9G7	Shisal2a	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q9D1Y9	Shisal2b	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q61120	Shc3			
Q8BSD5	She			
Q6S5L9	Shc4	Postsynaptic cell membrane,Synapse,Cell junction		Postsynaptic cell membrane,Synapse,Cell junction
Q3UEN2	Shld2	Chromosome		Chromosome
P97497	Shbg	Secreted		Secreted
Q6P549	Inppl1	Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Cytosol,Nucleus,Lamellipodium,Nucleus speckle,Membrane	Peripheral membrane protein	Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Cytosol,Nucleus,Lamellipodium,Nucleus speckle,Peripheral membrane protein,Membrane
Q8CAK3	Shfl	P-body,Nucleus,Cytoplasm		P-body,Nucleus,Cytoplasm
Q9JK48	Sh3glb1	Cytoplasm,Golgi apparatus membrane,Autophagosome membrane,Cytoplasmic vesicle,Midbody,Mitochondrion outer membrane	Peripheral membrane protein	Cytoplasm,Golgi apparatus membrane,Autophagosome membrane,Cytoplasmic vesicle,Midbody,Peripheral membrane protein,Mitochondrion outer membrane
A2ALV5	Shoc1	Chromosome		Chromosome
Q9CZV2	Shld3	Chromosome		Chromosome
Q62226	Shh	Cell membrane,Golgi apparatus membrane,Endoplasmic reticulum membrane	Lipid-anchor	Lipid-anchor,Cell membrane,Golgi apparatus membrane,Endoplasmic reticulum membrane
Q7TMX5	Shq1	Cytosol,Nucleoplasm,Nucleus,Cytoplasm		Cytosol,Nucleoplasm,Nucleus,Cytoplasm
Q3TTP0	Shcbp1l	Cytoskeleton,Spindle,Cytoplasm		Cytoskeleton,Spindle,Cytoplasm
Q8R3V5	Sh3glb2	Cytoplasm		Cytoplasm
O88520	Shoc2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9D112	Shld1	Chromosome		Chromosome
Q6P7W2	Shkbp1	Lysosome		Lysosome
Q0VBP7	Shisal1	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9QXN0	Shroom3	Cytoplasm,Adherens junction,Cytoskeleton,Apical cell membrane,Cell junction	Peripheral membrane protein	Cytoplasm,Adherens junction,Cytoskeleton,Apical cell membrane,Cell junction,Peripheral membrane protein
Q9D5J6	Shpk	Cytoplasm		Cytoplasm
Q8CA71	Shisa4	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
C4P6S0	Nsun4	Cytoplasm		Cytoplasm
Q1W617	Shroom4	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q9D7I0	Shisa5	Nucleus membrane,Endoplasmic reticulum membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Nucleus membrane,Endoplasmic reticulum membrane
Q7TPQ3	Shprh			
Q5SX79	Shroom1	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q8K2Q9	Shtn1	Growth cone,Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Perikaryon,Axon,Lamellipodium		Growth cone,Filopodium,Cell projection,Cytoplasm,Cytoskeleton,Perikaryon,Axon,Lamellipodium
Q3UH99	Shisa6	Synapse,Postsynaptic density membrane,Cell junction	Single-pass type I membrane protein	Single-pass type I membrane protein,Synapse,Postsynaptic density membrane,Cell junction
A2ALU4	Shroom2	Tight junction,Cytoplasm,Cytoskeleton,Apical cell membrane,Cell junction		Tight junction,Cytoplasm,Cytoskeleton,Apical cell membrane,Cell junction
P70390	Shox2	Nucleus		Nucleus
P97797	Sirpa	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q91WA6	Sharpin	Cytosol,Synapse,Cytoplasm,Cell junction		Cytosol,Synapse,Cytoplasm,Cell junction
Q8C3Q5	Shisa7	Synapse,Postsynaptic density membrane,Cell junction	Single-pass type I membrane protein	Single-pass type I membrane protein,Synapse,Postsynaptic density membrane,Cell junction
G3X9J0	Sipa1l3	Apical cell membrane		Apical cell membrane
Q9ES52	Inpp5d	Membrane raft,Cytoskeleton,Cytoplasm,Cell membrane	Peripheral membrane protein	Membrane raft,Cytoplasm,Cytoskeleton,Cell membrane,Peripheral membrane protein
J3QNX5	Shisa8	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q9QYJ1	St6galnac5	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q64692	St8sia4	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q9CZN4	Shisa9	Synapse,Cell projection,Cell junction,Dendritic spine membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell projection,Synapse,Dendritic spine membrane,Cell junction
Q11204	St3gal2	Secreted,Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Secreted,Golgi apparatus,Golgi stack membrane
Q8VIB3	St3gal6	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
P70126	St8sia5	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q06986	Siah2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8C0T5	Sipa1l1	Cytoplasm,Cytoskeleton,Synapse,Cell junction,Synaptosome,Postsynaptic density		Cytoplasm,Cytoskeleton,Synapse,Cell junction,Synaptosome,Postsynaptic density
Q99J77	Nans	Cytoplasm		Cytoplasm
P61092	Siah1a	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9JM95	St6galnac6	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q06985	Siah1b	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q91Y74	St3gal4	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q8QZV2	Shisa2	Endoplasmic reticulum membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Endoplasmic reticulum membrane
Q8K4T1	St8sia6	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
O88829	St3gal5	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q3UPR0	Shisa3	Endoplasmic reticulum membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Endoplasmic reticulum membrane
Q64685	St6gal1	Secreted,Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Secreted,Golgi apparatus,Golgi stack membrane
Q80TE4	Sipa1l2			
Q64687	St8sia1	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q61711	Ibsp	Secreted		Secreted
Q9QZ39	St6galnac1	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
P70665	Siae	Cytoplasm,Lysosome		Cytoplasm,Lysosome
P54751	St3gal1	Secreted,Golgi apparatus,Golgi stack membrane,Trans-Golgi network membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Secreted,Golgi stack membrane,Trans-Golgi network membrane
P70277	St6galnac2	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
O35696	St8sia2	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q9WUV2	St6galnac3	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q76K27	St6gal2	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q64689	St8sia3	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q9R2B6	St6galnac4	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
P97325	St3gal3	Golgi apparatus,Golgi stack membrane,Membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane,Membrane
Q6AXF6	Sidt1	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q920G3	Siglec5	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q8CIF6	Sidt2	Cell membrane,Lysosome membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane,Lysosome membrane
Q80ZE3	Siglec10	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q8CFH6	Sik2	Cytoplasm		Cytoplasm
Q91Y57	Siglec12	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q91VT8	Smim14	Endoplasmic reticulum membrane	Single-pass membrane protein	Single-pass membrane protein,Endoplasmic reticulum membrane
Q99J19	Smim11	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q9EPK6	Sil1	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q9JLZ8	Sigirr	Membrane	Single-pass type III membrane protein	Single-pass type III membrane protein,Membrane
Q3TS39	SMIM33	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q6P4S6	Sik3	Cytoplasm		Cytoplasm
D3Z7Q2	Smim20	Secreted,Mitochondrion inner membrane	Single-pass membrane protein	Secreted,Mitochondrion inner membrane,Single-pass membrane protein
