acc	gene	location	topology	both
Q91V87	Fgfrl1	Cell membrane	Single-pass membrane protein	Cell membrane,Single-pass membrane protein
P54130	Fgf9	Secreted		Secreted
Q71KU9	Fgl1	Secreted		Secreted
Q9CRA9	Fgfr1op2	Cytoplasm		Cytoplasm
P12804	Fgl2	Secreted		Secreted
P15655	Fgf2	Secreted,Nucleus		Secreted,Nucleus
A6PWD2	Fhad1			
Q3U2I3	Fhip1b			
P14234	Fgr	Ruffle membrane,Cell projection,Cytoplasm,Mitochondrion intermembrane space,Cytoskeleton,Cytosol,Mitochondrion inner membrane,Cell membrane	Lipid-anchor,Peripheral membrane protein	Ruffle membrane,Cell projection,Cytoplasm,Mitochondrion intermembrane space,Lipid-anchor,Cytoskeleton,Cytosol,Mitochondrion inner membrane,Cell membrane,Peripheral membrane protein
Q61851	Fgfr3	Cytoplasmic vesicle,Endoplasmic reticulum,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cytoplasmic vesicle,Endoplasmic reticulum,Cell membrane
Q8CDM8	Fhip2a			
Q99MX2	Fthl17			
Q80YR2	Fhip2b			
Q9WTX7	Fhl5	Nucleus		Nucleus
P16092	Fgfr1	Cytoplasm,Cytosol,Nucleus,Cytoplasmic vesicle,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cytoplasm,Cytosol,Nucleus,Cytoplasmic vesicle,Cell membrane
Q3ULZ2	Fhdc1	Cilium,Cell projection,Golgi apparatus		Cilium,Cell projection,Golgi apparatus
Q505K2	Fhip1a			
Q03142	Fgfr4	Endosome,Endoplasmic reticulum,Cell membrane	Single-pass type I membrane protein	Endosome,Single-pass type I membrane protein,Endoplasmic reticulum,Cell membrane
P97447	Fhl1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
O89106	Fhit	Mitochondrion,Nucleus,Cytoplasm		Mitochondrion,Nucleus,Cytoplasm
Q6P9Q4	Fhod1	Cell projection,Cytoplasm,Cytoskeleton,Cytosol,Bleb		Cell projection,Cytoplasm,Cytoskeleton,Cytosol,Bleb
E9PV24	Fga	Secreted		Secreted
O70433	Fhl2	Cytoplasm,Nucleus,Z line,Sarcomere,Myofibril		Cytoplasm,Nucleus,Z line,Sarcomere,Myofibril
Q76LL6	Fhod3	Cytoplasm,Cytoskeleton,Z line,Sarcomere,Myofibril		Cytoplasm,Cytoskeleton,Z line,Sarcomere,Myofibril
Q9R059	Fhl3	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8K0E8	Fgb	Secreted		Secreted
Q9JI19	Fibp	Endomembrane system,Nucleus	Peripheral membrane protein	Endomembrane system,Nucleus,Peripheral membrane protein
Q8BIX9	Ficd	Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Endoplasmic reticulum membrane
Q8VCM7	Fgg	Secreted		Secreted
Q2VIS4	Flg2	Cytoplasmic granule,Cytoplasm		Cytoplasmic granule,Cytoplasm
Q8BPY9	Fignl1	Nucleus,Cytoplasm,Perinuclear region		Nucleus,Cytoplasm,Perinuclear region
P11088	Flg	Cytoplasmic granule		Cytoplasmic granule
O55208	Figla	Nucleus		Nucleus
Q9ERZ6	Fign	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus matrix		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus matrix
Q9CQS3	Fibin	Secreted,Golgi apparatus,Endoplasmic reticulum		Secreted,Golgi apparatus,Endoplasmic reticulum
Q91WF7	Fig4	Endosome membrane		Endosome membrane
E9Q9R3	Fimp	Secreted,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Secreted,Cell membrane
Q6P6L0	Filip1l	Nucleus,Cytoplasm,Membrane		Nucleus,Cytoplasm,Membrane
Q9D824	Fip1l1	Nucleus		Nucleus
Q9CQ92	Fis1	Mitochondrion outer membrane,Peroxisome membrane	Single-pass membrane protein	Mitochondrion outer membrane,Single-pass membrane protein,Peroxisome membrane
Q91V79	Fitm1	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
P59266	Fitm2	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
Q9WTJ4	Fiz1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8BQB4	Fjx1	Secreted		Secreted
Q61576	Fkbp10	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q9D1M7	Fkbp11	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q62446	Fkbp3	Nucleus		Nucleus
P11276	Fn1	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
P26883	Fkbp1a	Sarcoplasmic reticulum membrane,Cytosol,Cytoplasm	Peripheral membrane protein	Sarcoplasmic reticulum membrane,Cytosol,Cytoplasm,Peripheral membrane protein
P45878	Fkbp2	Endoplasmic reticulum membrane	Peripheral membrane protein	Peripheral membrane protein,Endoplasmic reticulum membrane
Q64378	Fkbp5	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9Z247	Fkbp9	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
P30416	Fkbp4	Mitochondrion,Cytoplasm,Cytoskeleton,Cytosol,Nucleus		Mitochondrion,Cytoplasm,Cytoskeleton,Cytosol,Nucleus
P59024	Fkbp14	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
O35450	Fkbpl			
Q6P9Q6	Fkbp15	Early endosome,Axon,Cell projection,Cytoplasm		Early endosome,Axon,Cell projection,Cytoplasm
Q9ER69	Wtap	Cytoplasm,Nucleus,Nucleoplasm,Nucleus speckle		Cytoplasm,Nucleus,Nucleoplasm,Nucleus speckle
Q9Z2I2	Fkbp1b	Cytoplasm,Sarcoplasmic reticulum		Cytoplasm,Sarcoplasmic reticulum
Q91XW8	Fkbp6	Cytosol,Nucleus,Cytoplasm,Chromosome		Cytosol,Nucleus,Cytoplasm,Chromosome
O54998	Fkbp7	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
Q8CG64	Fkrp	Cytoplasm,Secreted,Golgi apparatus membrane,Sarcolemma,Rough endoplasmic reticulum,Cell membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Secreted,Golgi apparatus membrane,Sarcolemma,Rough endoplasmic reticulum,Cell membrane
O35465	Fkbp8	Mitochondrion membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein
Q8QZS3	Flcn	Centrosome,Cell projection,Cytoplasm,Cytoskeleton,Cytosol,Microtubule organizing center,Nucleus,Cilium,Spindle,Lysosome membrane		Centrosome,Cell projection,Cytoplasm,Cytoskeleton,Cytosol,Microtubule organizing center,Nucleus,Cilium,Spindle,Lysosome membrane
Q8R507	Fktn	Nucleus,Cytoplasm,Golgi apparatus membrane,Endoplasmic reticulum	Single-pass type II membrane protein	Single-pass type II membrane protein,Cytoplasm,Nucleus,Golgi apparatus membrane,Endoplasmic reticulum
P26323	Fli1	Nucleus		Nucleus
Q9JJ28	Flii	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus,Cell junction,Focal adhesion		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Nucleus,Cell junction,Focal adhesion
Q9CS72	Filip1	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q8BG21	Cacfd1	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q60634	Flot2	Endosome,Membrane,Cell membrane,Caveola	Lipid-anchor,Peripheral membrane protein	Caveola,Lipid-anchor,Endosome,Cell membrane,Peripheral membrane protein,Membrane
