inchi_key	conc	cells	nuclei	prp	gfp
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.019913724	GFP	886	-1.6e-4	1.543327221
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.019913724	GFP	860	-0.209608141	0.320112149
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.019913724	GFP	791	-0.504107009	0.203549283
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.019913724	GFP	828	-0.094284997	0.714421353
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.019913724	GFP	780	-1.859397983	-1.157477861
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.019913724	GFP	780	0.090070585	0.636950767
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.019913724	GFP	789	-0.737195556	-0.066544037
	NA	GFP	866	-1.002410575	-1.22288881
	NA	GFP	983	0.166404864	-13.30826605
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.006292737	GFP	843	0.727562217	-1.143732215
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.006292737	GFP	891	-0.368934411	-0.543068587
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.006292737	GFP	851	-1.62849075	-0.16760606
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.006292737	GFP	864	1.024599358	0.793469721
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.006292737	GFP	829	0.802282112	0.380190633
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.006292737	GFP	832	0.1981361	-1.527595432
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.006292737	GFP	815	-1.992366713	-4.160404884
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.006292737	GFP	861	0.181857576	-0.405892781
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.006292737	GFP	825	0.392713795	-0.882192131
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.006292737	GFP	910	0.834931881	-0.165539074
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.006292737	GFP	761	-0.501152092	-1.185856552
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.006292737	GFP	815	0.657811465	-1.385151081
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.006292737	GFP	848	-0.04161328	0.055873087
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.006292737	GFP	884	0.47283019	0.130159034
